id,name,road_type
507536055,Gang Mushola Al-Falah,living_street
485046287,Jalan Cawang 1,living_street
507536137,Gang Al Ikhlas 4,living_street
485064986,Jalan Pramuka Sari I,living_street
507536166,Gang Darussalam V,living_street
485065027,Jalan Sayuti II,living_street
507536143,Gang Niman,living_street
485071201,Gang Remaja V,living_street
499217329,Gang Lurah Paul,living_street
485073663,Gang Bhakti VI,living_street
499215958,Gang Al Hidayah,living_street
485073682,Gang Bhakti VII,living_street
499237584,Jalan Cendrawasi 1,living_street
485073689,Gang Bhakti VIII,living_street
499239181,Gang H. Panjang II,living_street
485236246,Gang Commando,living_street
499239210,Jalan Duku,living_street
487332734,Gang Mushollah Ar-Rohman,living_street
499239240,Gang Mawar 2,living_street
487332756,Jalan Ublik,living_street
499250287,Gang H. Ayain,living_street
485238525,Gang Akik Gading,living_street
499250277,Gang Ibu Tas,living_street
485243037,Gang Gading VII,living_street
499421602,Jalan Teknik 3,living_street
485254425,Jalan Malaka IV Gang 2,living_street
499421666,Gang H. Sartin,living_street
485254426,Jalan Malaka IV Gang 6,living_street
499316026,Gang H. Warsim,living_street
485254434,Jalan Wijaya Kusuma III Gang 6,living_street
499426325,Gang Mushola Al Hidayah,living_street
485256670,Gang Kedoya,living_street
499426427,Gang Nurul Yaqin II,living_street
493564362,Jalan Paseban Dalam Gang 12,living_street
499426446,Gang H. Karno,living_street
485270414,Gang Anggrek 6,living_street
499426431,Gang Mawar 1,living_street
485277279,Gang V,living_street
499764995,Jalan Delima I Gang 1C,living_street
485277304,Jalan Penggalang Gang II,living_street
499771934,Gang Teratai II,living_street
485277308,Jalan Penegak Gang 6A,living_street
499771957,Jalan Taruna Gang 7,living_street
485280729,Jalan Moor,living_street
499771988,Jalan Serdang Baru I Gang 5,living_street
485280746,Jalan Kober Pedati Gang I,living_street
499778012,Gang H. Saih,living_street
485287483,Jalan Malaka IV,living_street
499778121,Gang Masjid Al Mubarok,living_street
487370387,Gang Tembok,living_street
499781098,Jalan Jangka,living_street
485294323,Jalan Kayu Manis I Lama Gg 6,living_street
499795364,Gang Nurul Hidayah,living_street
485294337,Jalan Penegak Gg II,living_street
499795384,Gang Jengkol II,living_street
485294342,Jalan Penggalang Gang IV,living_street
508136038,Gang Macho,living_street
485294344,Jalan Penggalang Gang V,living_street
499839591,Gang H Daud I,living_street
485303065,Gg.Melati III,living_street
515552243,Gang Musholla,living_street
487388551,Gang Swadaya,living_street
500055507,Gang Swadaya,living_street
485763226,Jalan Agung Utara 6C,living_street
500055877,Gang Nudin,living_street
485432312,Jalan Tambora VI Gang 1,living_street
500072180,Gang Swadaya X,living_street
485680439,Jalan KP. Irian Gang 25,living_street
500082477,Jalan Mualim III,living_street
485680440,Jalan KP. Irian 28,living_street
500082452,Gang H Gayas,living_street
485763225,Jalan Agung Utara 6D,living_street
500082603,Gang Mantap,living_street
485763230,Jalan Agung Utara 3C,living_street
500082536,Gang Setapak,living_street
485763231,Jalan Agung Utara 3D,living_street
500337013,Gang H. Buang,living_street
485763232,Jalan Agung Utara 3B,living_street
500301404,Jalan Seroja,living_street
485763244,Jalan Agung Utara 17,living_street
499215872,Gang Haji Minong,living_street
485763246,Jalan Agung Utara 16,living_street
508327296,Jalan B III,living_street
33871693,Jalan Mushola,living_street
500383253,Gang Melati I,living_street
33882711,Jalan Kayu Besar,living_street
500379262,Jalan Damiri,living_street
158663239,Gang Damai 5,living_street
500576954,Jalan Al Falah II Gang Langgar,living_street
487388578,Gang H. Mathair,living_street
